geoName,Meta AI
Alabama,50
Alaska,91
Arizona,59
Arkansas,46
California,68
Colorado,42
Connecticut,58
Delaware,60
District of Columbia,90
Florida,56
Georgia,52
Hawaii,93
Idaho,53
Illinois,47
Indiana,54
Iowa,53
Kansas,45
Kentucky,53
Louisiana,70
Maine,61
Maryland,55
Massachusetts,57
Michigan,44
Minnesota,41
Mississippi,70
Missouri,46
Montana,0
Nebraska,65
Nevada,47
New Hampshire,43
New Jersey,56
New Mexico,49
New York,70
North Carolina,66
North Dakota,0
Ohio,49
Oklahoma,35
Oregon,57
Pennsylvania,51
Rhode Island,100
South Carolina,39
South Dakota,0
Tennessee,54
Texas,58
Utah,63
Vermont,0
Virginia,73
Washington,69
West Virginia,47
Wisconsin,50
Wyoming,0
