geoName,Microsoft Copilot
Alabama,49
Alaska,0
Arizona,48
Arkansas,45
California,51
Colorado,57
Connecticut,80
Delaware,40
District of Columbia,69
Florida,51
Georgia,100
Hawaii,57
Idaho,53
Illinois,61
Indiana,54
Iowa,66
Kansas,58
Kentucky,58
Louisiana,61
Maine,56
Maryland,67
Massachusetts,65
Michigan,61
Minnesota,75
Mississippi,32
Missouri,50
Montana,63
Nebraska,52
Nevada,44
New Hampshire,69
New Jersey,67
New Mexico,38
New York,60
North Carolina,81
North Dakota,61
Ohio,54
Oklahoma,41
Oregon,48
Pennsylvania,76
Rhode Island,47
South Carolina,65
South Dakota,74
Tennessee,55
Texas,76
Utah,99
Vermont,74
Virginia,87
Washington,80
West Virginia,52
Wisconsin,75
Wyoming,0
