geoName,Perplexity AI
Alabama,35
Alaska,0
Arizona,62
Arkansas,34
California,73
Colorado,59
Connecticut,62
Delaware,44
District of Columbia,100
Florida,46
Georgia,63
Hawaii,76
Idaho,39
Illinois,52
Indiana,37
Iowa,48
Kansas,50
Kentucky,30
Louisiana,42
Maine,35
Maryland,51
Massachusetts,78
Michigan,41
Minnesota,46
Mississippi,34
Missouri,48
Montana,51
Nebraska,48
Nevada,62
New Hampshire,43
New Jersey,66
New Mexico,54
New York,62
North Carolina,56
North Dakota,0
Ohio,42
Oklahoma,37
Oregon,55
Pennsylvania,47
Rhode Island,0
South Carolina,37
South Dakota,67
Tennessee,55
Texas,55
Utah,73
Vermont,0
Virginia,57
Washington,71
West Virginia,36
Wisconsin,35
Wyoming,0
