geoName,Meta AI
Alabama,63
Alaska,0
Arizona,68
Arkansas,58
California,84
Colorado,51
Connecticut,54
Delaware,58
District of Columbia,95
Florida,73
Georgia,64
Hawaii,43
Idaho,56
Illinois,55
Indiana,44
Iowa,45
Kansas,70
Kentucky,40
Louisiana,59
Maine,0
Maryland,67
Massachusetts,49
Michigan,48
Minnesota,38
Mississippi,56
Missouri,43
Montana,0
Nebraska,72
Nevada,43
New Hampshire,43
New Jersey,75
New Mexico,73
New York,95
North Carolina,61
North Dakota,0
Ohio,55
Oklahoma,48
Oregon,93
Pennsylvania,56
Rhode Island,55
South Carolina,54
South Dakota,0
Tennessee,59
Texas,82
Utah,46
Vermont,0
Virginia,100
Washington,74
West Virginia,31
Wisconsin,50
Wyoming,0
