geoName,Perplexity AI
Alabama,46
Alaska,0
Arizona,71
Arkansas,55
California,70
Colorado,57
Connecticut,67
Delaware,0
District of Columbia,100
Florida,50
Georgia,72
Hawaii,86
Idaho,25
Illinois,51
Indiana,52
Iowa,29
Kansas,63
Kentucky,52
Louisiana,56
Maine,47
Maryland,68
Massachusetts,71
Michigan,46
Minnesota,48
Mississippi,36
Missouri,46
Montana,72
Nebraska,41
Nevada,49
New Hampshire,31
New Jersey,69
New Mexico,36
New York,73
North Carolina,51
North Dakota,0
Ohio,47
Oklahoma,51
Oregon,47
Pennsylvania,47
Rhode Island,37
South Carolina,35
South Dakota,0
Tennessee,51
Texas,60
Utah,53
Vermont,0
Virginia,55
Washington,67
West Virginia,37
Wisconsin,38
Wyoming,0
