geoName,Microsoft Copilot
Alabama,58
Alaska,0
Arizona,58
Arkansas,64
California,57
Colorado,66
Connecticut,92
Delaware,49
District of Columbia,95
Florida,70
Georgia,99
Hawaii,46
Idaho,56
Illinois,64
Indiana,67
Iowa,71
Kansas,65
Kentucky,77
Louisiana,69
Maine,33
Maryland,77
Massachusetts,73
Michigan,61
Minnesota,75
Mississippi,46
Missouri,52
Montana,0
Nebraska,78
Nevada,50
New Hampshire,69
New Jersey,65
New Mexico,68
New York,67
North Carolina,80
North Dakota,50
Ohio,69
Oklahoma,50
Oregon,52
Pennsylvania,82
Rhode Island,65
South Carolina,71
South Dakota,86
Tennessee,68
Texas,80
Utah,100
Vermont,56
Virginia,91
Washington,81
West Virginia,78
Wisconsin,73
Wyoming,0
