geoName,Perplexity AI
Alabama,22
Alaska,0
Arizona,33
Arkansas,12
California,48
Colorado,35
Connecticut,22
Delaware,0
District of Columbia,84
Florida,35
Georgia,49
Hawaii,22
Idaho,11
Illinois,38
Indiana,16
Iowa,11
Kansas,22
Kentucky,14
Louisiana,26
Maine,11
Maryland,66
Massachusetts,100
Michigan,22
Minnesota,29
Mississippi,16
Missouri,35
Montana,13
Nebraska,9
Nevada,33
New Hampshire,14
New Jersey,43
New Mexico,30
New York,57
North Carolina,20
North Dakota,0
Ohio,24
Oklahoma,37
Oregon,28
Pennsylvania,32
Rhode Island,18
South Carolina,14
South Dakota,0
Tennessee,28
Texas,30
Utah,43
Vermont,13
Virginia,31
Washington,100
West Virginia,13
Wisconsin,22
Wyoming,0
