geoName,Anthropic
Alabama,7
Alaska,20
Arizona,17
Arkansas,9
California,49
Colorado,25
Connecticut,18
Delaware,0
District of Columbia,100
Florida,15
Georgia,19
Hawaii,16
Idaho,13
Illinois,21
Indiana,11
Iowa,8
Kansas,8
Kentucky,6
Louisiana,7
Maine,9
Maryland,26
Massachusetts,43
Michigan,13
Minnesota,17
Mississippi,5
Missouri,12
Montana,0
Nebraska,12
Nevada,14
New Hampshire,12
New Jersey,28
New Mexico,15
New York,39
North Carolina,14
North Dakota,13
Ohio,11
Oklahoma,9
Oregon,23
Pennsylvania,16
Rhode Island,17
South Carolina,7
South Dakota,12
Tennessee,12
Texas,19
Utah,24
Vermont,21
Virginia,28
Washington,55
West Virginia,0
Wisconsin,12
Wyoming,0
