geoName,Microsoft Copilot
Alabama,51
Alaska,48
Arizona,43
Arkansas,51
California,46
Colorado,55
Connecticut,61
Delaware,57
District of Columbia,80
Florida,61
Georgia,100
Hawaii,34
Idaho,48
Illinois,58
Indiana,56
Iowa,59
Kansas,53
Kentucky,43
Louisiana,51
Maine,39
Maryland,67
Massachusetts,64
Michigan,47
Minnesota,65
Mississippi,34
Missouri,57
Montana,44
Nebraska,58
Nevada,41
New Hampshire,44
New Jersey,53
New Mexico,38
New York,56
North Carolina,73
North Dakota,37
Ohio,55
Oklahoma,53
Oregon,56
Pennsylvania,62
Rhode Island,67
South Carolina,68
South Dakota,77
Tennessee,46
Texas,66
Utah,67
Vermont,53
Virginia,76
Washington,72
West Virginia,45
Wisconsin,60
Wyoming,0
