geoName,Meta AI
Alabama,37
Alaska,0
Arizona,43
Arkansas,38
California,83
Colorado,45
Connecticut,36
Delaware,26
District of Columbia,100
Florida,47
Georgia,50
Hawaii,37
Idaho,29
Illinois,44
Indiana,32
Iowa,33
Kansas,41
Kentucky,31
Louisiana,41
Maine,29
Maryland,64
Massachusetts,66
Michigan,38
Minnesota,40
Mississippi,30
Missouri,32
Montana,34
Nebraska,31
Nevada,49
New Hampshire,31
New Jersey,57
New Mexico,43
New York,62
North Carolina,38
North Dakota,0
Ohio,34
Oklahoma,42
Oregon,47
Pennsylvania,42
Rhode Island,32
South Carolina,25
South Dakota,0
Tennessee,32
Texas,46
Utah,47
Vermont,0
Virginia,47
Washington,74
West Virginia,35
Wisconsin,31
Wyoming,0
