geoName,Microsoft Copilot
Alabama,45
Alaska,35
Arizona,54
Arkansas,50
California,48
Colorado,65
Connecticut,50
Delaware,55
District of Columbia,100
Florida,55
Georgia,57
Hawaii,70
Idaho,48
Illinois,58
Indiana,48
Iowa,63
Kansas,47
Kentucky,47
Louisiana,40
Maine,34
Maryland,63
Massachusetts,83
Michigan,41
Minnesota,54
Mississippi,28
Missouri,51
Montana,31
Nebraska,53
Nevada,46
New Hampshire,58
New Jersey,52
New Mexico,38
New York,59
North Carolina,55
North Dakota,0
Ohio,51
Oklahoma,45
Oregon,48
Pennsylvania,58
Rhode Island,48
South Carolina,50
South Dakota,37
Tennessee,48
Texas,56
Utah,43
Vermont,0
Virginia,70
Washington,73
West Virginia,35
Wisconsin,55
Wyoming,71
