geoName,Anthropic
Alabama,13
Alaska,29
Arizona,27
Arkansas,16
California,76
Colorado,38
Connecticut,35
Delaware,15
District of Columbia,100
Florida,22
Georgia,26
Hawaii,72
Idaho,18
Illinois,29
Indiana,18
Iowa,20
Kansas,16
Kentucky,19
Louisiana,19
Maine,19
Maryland,37
Massachusetts,64
Michigan,20
Minnesota,23
Mississippi,16
Missouri,21
Montana,17
Nebraska,16
Nevada,25
New Hampshire,19
New Jersey,41
New Mexico,22
New York,51
North Carolina,25
North Dakota,0
Ohio,20
Oklahoma,17
Oregon,30
Pennsylvania,26
Rhode Island,33
South Carolina,17
South Dakota,0
Tennessee,18
Texas,26
Utah,36
Vermont,47
Virginia,38
Washington,78
West Virginia,14
Wisconsin,18
Wyoming,0
