geoName,Perplexity AI
Alabama,26
Alaska,20
Arizona,22
Arkansas,25
California,33
Colorado,29
Connecticut,34
Delaware,0
District of Columbia,33
Florida,23
Georgia,22
Hawaii,100
Idaho,22
Illinois,17
Indiana,19
Iowa,18
Kansas,16
Kentucky,24
Louisiana,21
Maine,4
Maryland,27
Massachusetts,59
Michigan,20
Minnesota,19
Mississippi,20
Missouri,16
Montana,8
Nebraska,19
Nevada,34
New Hampshire,4
New Jersey,25
New Mexico,27
New York,27
North Carolina,24
North Dakota,0
Ohio,22
Oklahoma,23
Oregon,19
Pennsylvania,23
Rhode Island,30
South Carolina,25
South Dakota,0
Tennessee,20
Texas,20
Utah,33
Vermont,7
Virginia,18
Washington,45
West Virginia,5
Wisconsin,14
Wyoming,14
