geoName,Meta AI
Alabama,57
Alaska,90
Arizona,55
Arkansas,68
California,98
Colorado,58
Connecticut,77
Delaware,52
District of Columbia,81
Florida,72
Georgia,62
Hawaii,74
Idaho,55
Illinois,58
Indiana,71
Iowa,51
Kansas,53
Kentucky,68
Louisiana,50
Maine,79
Maryland,67
Massachusetts,77
Michigan,67
Minnesota,48
Mississippi,73
Missouri,54
Montana,100
Nebraska,77
Nevada,66
New Hampshire,70
New Jersey,82
New Mexico,43
New York,89
North Carolina,68
North Dakota,79
Ohio,55
Oklahoma,74
Oregon,67
Pennsylvania,60
Rhode Island,98
South Carolina,60
South Dakota,0
Tennessee,51
Texas,62
Utah,58
Vermont,0
Virginia,80
Washington,89
West Virginia,39
Wisconsin,62
Wyoming,0
