geoName,Microsoft Copilot
Alabama,33
Alaska,0
Arizona,37
Arkansas,33
California,46
Colorado,47
Connecticut,49
Delaware,46
District of Columbia,100
Florida,39
Georgia,48
Hawaii,40
Idaho,58
Illinois,47
Indiana,41
Iowa,49
Kansas,48
Kentucky,36
Louisiana,22
Maine,34
Maryland,51
Massachusetts,63
Michigan,40
Minnesota,55
Mississippi,19
Missouri,37
Montana,0
Nebraska,43
Nevada,32
New Hampshire,45
New Jersey,48
New Mexico,32
New York,40
North Carolina,41
North Dakota,54
Ohio,41
Oklahoma,41
Oregon,48
Pennsylvania,43
Rhode Island,50
South Carolina,33
South Dakota,0
Tennessee,42
Texas,44
Utah,57
Vermont,0
Virginia,58
Washington,76
West Virginia,23
Wisconsin,50
Wyoming,0
