geoName,Microsoft Copilot
Alabama,55
Alaska,0
Arizona,49
Arkansas,51
California,58
Colorado,66
Connecticut,76
Delaware,65
District of Columbia,60
Florida,66
Georgia,86
Hawaii,80
Idaho,67
Illinois,71
Indiana,58
Iowa,87
Kansas,45
Kentucky,54
Louisiana,58
Maine,80
Maryland,72
Massachusetts,82
Michigan,58
Minnesota,76
Mississippi,18
Missouri,49
Montana,61
Nebraska,72
Nevada,52
New Hampshire,77
New Jersey,66
New Mexico,56
New York,68
North Carolina,89
North Dakota,69
Ohio,64
Oklahoma,64
Oregon,76
Pennsylvania,71
Rhode Island,44
South Carolina,45
South Dakota,100
Tennessee,60
Texas,80
Utah,80
Vermont,0
Virginia,89
Washington,92
West Virginia,43
Wisconsin,82
Wyoming,0
