geoName,Meta AI
Alabama,64
Alaska,0
Arizona,48
Arkansas,58
California,83
Colorado,50
Connecticut,59
Delaware,51
District of Columbia,100
Florida,71
Georgia,61
Hawaii,55
Idaho,53
Illinois,58
Indiana,53
Iowa,59
Kansas,51
Kentucky,63
Louisiana,51
Maine,65
Maryland,63
Massachusetts,73
Michigan,47
Minnesota,58
Mississippi,57
Missouri,67
Montana,76
Nebraska,42
Nevada,38
New Hampshire,59
New Jersey,69
New Mexico,70
New York,83
North Carolina,51
North Dakota,0
Ohio,59
Oklahoma,62
Oregon,72
Pennsylvania,58
Rhode Island,43
South Carolina,53
South Dakota,0
Tennessee,61
Texas,63
Utah,61
Vermont,0
Virginia,75
Washington,81
West Virginia,59
Wisconsin,48
Wyoming,0
