geoName,Perplexity AI
Alabama,44
Alaska,0
Arizona,78
Arkansas,43
California,86
Colorado,71
Connecticut,60
Delaware,69
District of Columbia,100
Florida,59
Georgia,67
Hawaii,55
Idaho,46
Illinois,60
Indiana,47
Iowa,61
Kansas,71
Kentucky,34
Louisiana,51
Maine,43
Maryland,66
Massachusetts,87
Michigan,44
Minnesota,44
Mississippi,34
Missouri,51
Montana,0
Nebraska,51
Nevada,69
New Hampshire,52
New Jersey,76
New Mexico,49
New York,73
North Carolina,61
North Dakota,0
Ohio,38
Oklahoma,45
Oregon,62
Pennsylvania,51
Rhode Island,60
South Carolina,49
South Dakota,78
Tennessee,44
Texas,60
Utah,61
Vermont,0
Virginia,72
Washington,81
West Virginia,42
Wisconsin,39
Wyoming,0
