geoName,Microsoft Copilot
Alabama,51
Alaska,0
Arizona,55
Arkansas,45
California,55
Colorado,61
Connecticut,77
Delaware,43
District of Columbia,96
Florida,65
Georgia,100
Hawaii,57
Idaho,55
Illinois,63
Indiana,70
Iowa,75
Kansas,65
Kentucky,64
Louisiana,79
Maine,49
Maryland,67
Massachusetts,66
Michigan,60
Minnesota,82
Mississippi,30
Missouri,58
Montana,0
Nebraska,66
Nevada,41
New Hampshire,60
New Jersey,71
New Mexico,58
New York,62
North Carolina,91
North Dakota,93
Ohio,63
Oklahoma,50
Oregon,56
Pennsylvania,73
Rhode Island,64
South Carolina,65
South Dakota,69
Tennessee,61
Texas,83
Utah,91
Vermont,67
Virginia,94
Washington,72
West Virginia,53
Wisconsin,75
Wyoming,0
