geoName,Meta AI
Alabama,41
Alaska,0
Arizona,42
Arkansas,45
California,71
Colorado,38
Connecticut,46
Delaware,44
District of Columbia,93
Florida,56
Georgia,56
Hawaii,62
Idaho,45
Illinois,41
Indiana,49
Iowa,43
Kansas,33
Kentucky,60
Louisiana,40
Maine,38
Maryland,52
Massachusetts,58
Michigan,46
Minnesota,41
Mississippi,42
Missouri,56
Montana,52
Nebraska,39
Nevada,50
New Hampshire,42
New Jersey,61
New Mexico,35
New York,62
North Carolina,46
North Dakota,0
Ohio,40
Oklahoma,42
Oregon,40
Pennsylvania,43
Rhode Island,74
South Carolina,53
South Dakota,100
Tennessee,50
Texas,54
Utah,47
Vermont,0
Virginia,59
Washington,64
West Virginia,38
Wisconsin,41
Wyoming,0
