geoName,Meta AI
Alabama,47
Alaska,0
Arizona,45
Arkansas,49
California,75
Colorado,44
Connecticut,52
Delaware,0
District of Columbia,100
Florida,55
Georgia,55
Hawaii,58
Idaho,61
Illinois,48
Indiana,46
Iowa,43
Kansas,52
Kentucky,43
Louisiana,92
Maine,55
Maryland,60
Massachusetts,60
Michigan,45
Minnesota,49
Mississippi,66
Missouri,44
Montana,50
Nebraska,68
Nevada,48
New Hampshire,46
New Jersey,70
New Mexico,40
New York,68
North Carolina,77
North Dakota,0
Ohio,43
Oklahoma,37
Oregon,71
Pennsylvania,47
Rhode Island,42
South Carolina,50
South Dakota,0
Tennessee,48
Texas,57
Utah,66
Vermont,0
Virginia,64
Washington,78
West Virginia,47
Wisconsin,43
Wyoming,0
