geoName,Anthropic
Alabama,13
Alaska,19
Arizona,20
Arkansas,13
California,73
Colorado,36
Connecticut,28
Delaware,18
District of Columbia,100
Florida,23
Georgia,27
Hawaii,37
Idaho,19
Illinois,29
Indiana,15
Iowa,16
Kansas,15
Kentucky,12
Louisiana,13
Maine,17
Maryland,33
Massachusetts,55
Michigan,16
Minnesota,19
Mississippi,10
Missouri,17
Montana,15
Nebraska,16
Nevada,24
New Hampshire,22
New Jersey,37
New Mexico,19
New York,54
North Carolina,21
North Dakota,10
Ohio,15
Oklahoma,15
Oregon,27
Pennsylvania,22
Rhode Island,23
South Carolina,13
South Dakota,9
Tennessee,16
Texas,23
Utah,31
Vermont,28
Virginia,36
Washington,77
West Virginia,8
Wisconsin,17
Wyoming,24
