geoName,Meta AI
Alabama,48
Alaska,49
Arizona,59
Arkansas,52
California,100
Colorado,66
Connecticut,54
Delaware,46
District of Columbia,96
Florida,66
Georgia,60
Hawaii,87
Idaho,44
Illinois,59
Indiana,41
Iowa,40
Kansas,54
Kentucky,42
Louisiana,58
Maine,39
Maryland,66
Massachusetts,78
Michigan,48
Minnesota,41
Mississippi,42
Missouri,42
Montana,32
Nebraska,50
Nevada,58
New Hampshire,43
New Jersey,72
New Mexico,55
New York,84
North Carolina,60
North Dakota,40
Ohio,50
Oklahoma,50
Oregon,63
Pennsylvania,54
Rhode Island,49
South Carolina,41
South Dakota,30
Tennessee,45
Texas,69
Utah,57
Vermont,36
Virginia,77
Washington,87
West Virginia,37
Wisconsin,40
Wyoming,49
