geoName,Microsoft Copilot
Alabama,72
Alaska,0
Arizona,55
Arkansas,42
California,64
Colorado,71
Connecticut,61
Delaware,70
District of Columbia,100
Florida,59
Georgia,90
Hawaii,94
Idaho,71
Illinois,71
Indiana,71
Iowa,75
Kansas,75
Kentucky,60
Louisiana,50
Maine,71
Maryland,69
Massachusetts,82
Michigan,62
Minnesota,73
Mississippi,26
Missouri,46
Montana,0
Nebraska,50
Nevada,52
New Hampshire,56
New Jersey,68
New Mexico,50
New York,74
North Carolina,79
North Dakota,72
Ohio,83
Oklahoma,57
Oregon,64
Pennsylvania,64
Rhode Island,0
South Carolina,44
South Dakota,80
Tennessee,52
Texas,84
Utah,84
Vermont,0
Virginia,95
Washington,87
West Virginia,37
Wisconsin,81
Wyoming,0
