geoName,Meta AI
Alabama,40
Alaska,91
Arizona,65
Arkansas,66
California,89
Colorado,55
Connecticut,72
Delaware,90
District of Columbia,100
Florida,60
Georgia,68
Hawaii,93
Idaho,78
Illinois,58
Indiana,70
Iowa,42
Kansas,53
Kentucky,61
Louisiana,63
Maine,62
Maryland,67
Massachusetts,71
Michigan,55
Minnesota,37
Mississippi,38
Missouri,59
Montana,0
Nebraska,61
Nevada,63
New Hampshire,61
New Jersey,64
New Mexico,37
New York,87
North Carolina,76
North Dakota,0
Ohio,49
Oklahoma,62
Oregon,65
Pennsylvania,54
Rhode Island,63
South Carolina,49
South Dakota,0
Tennessee,71
Texas,63
Utah,81
Vermont,0
Virginia,79
Washington,83
West Virginia,75
Wisconsin,53
Wyoming,0
