geoName,Microsoft Copilot
Alabama,70
Alaska,46
Arizona,57
Arkansas,62
California,55
Colorado,72
Connecticut,68
Delaware,61
District of Columbia,94
Florida,70
Georgia,100
Hawaii,58
Idaho,50
Illinois,73
Indiana,67
Iowa,60
Kansas,61
Kentucky,52
Louisiana,79
Maine,48
Maryland,80
Massachusetts,80
Michigan,61
Minnesota,72
Mississippi,42
Missouri,61
Montana,54
Nebraska,80
Nevada,53
New Hampshire,43
New Jersey,69
New Mexico,57
New York,67
North Carolina,84
North Dakota,45
Ohio,67
Oklahoma,63
Oregon,52
Pennsylvania,75
Rhode Island,68
South Carolina,76
South Dakota,89
Tennessee,73
Texas,79
Utah,76
Vermont,77
Virginia,96
Washington,89
West Virginia,64
Wisconsin,71
Wyoming,0
