event_time,coef,std_err,ci_low,ci_high,p_value
-24,-18.807670992854128,608.2763359751248,-1211.0073821520843,1173.392040166376,0.975333645751461
-23,1560.6495395634226,566.2500853934847,450.8197659494624,2670.479313177383,0.005849268494099488
-22,10.97188536181784,698.0023800408471,-1357.087640641482,1379.0314113651177,0.9874585851201247
-21,-2255.904471723474,513.4446169476637,-3262.237428996859,-1249.5715144500896,1.1145469565413168e-05
-20,-733.0516797445089,715.2375657522344,-2134.891549008987,668.7881895199694,0.3054072746281469
-19,-1484.80564236541,783.4284664810851,-3020.297221131782,50.68593640096174,0.058057118385877134
-18,-1594.138155282194,890.4337680988086,-3339.3562713741494,151.07996080976136,0.07340667424836474
-17,1449.8554713331528,685.5333908087001,106.2347151484787,2793.476227517827,0.03443587192643058
-16,583.9446938384071,769.6235180539426,-924.4896832023323,2092.3790708791466,0.44800767959138477
-15,858.61160832991,959.1215441001699,-1021.2320749028681,2738.455291562688,0.37067684012926994
-14,932.5975811597245,713.1958056399594,-465.2405118196243,2330.4356741390734,0.1909981941193507
-13,1969.0990896080089,539.844784009127,911.0227557083153,3027.1754235077024,0.00026477522783882563
-12,1742.1923290071309,608.2763359751257,549.9926178478988,2934.3920401663627,0.004181350307452883
-11,1486.6495395634247,566.2500853934846,376.8197659494647,2596.479313177385,0.0086539790537054
-10,380.97188536181056,698.0023800408458,-987.0876406414866,1749.0314113651077,0.5852012699428684
-9,755.095528276511,513.4446169476635,-251.2374289968733,1761.4284855498954,0.14138674192345727
-8,7.9483202554720265,715.2375657522342,-1393.8915490090058,1409.7881895199498,0.9911334194524164
-7,-771.8056423654082,783.4284664810853,-2307.29722113178,763.6859364009638,0.3245434450557242
-6,-1551.1381552821854,890.4337680988098,-3296.356271374143,194.07996080977227,0.08150794683807613
-5,-302.5047604562644,767.990571746775,-1807.7386215462677,1202.7291006337389,0.6936613363449278
-4,-565.5531548329654,845.791717762345,-2223.2744600694277,1092.168150403497,0.5037078138744031
-3,-598.2565540082117,632.7105519904937,-1838.3464485480367,641.8333405316134,0.34438050250989305
-2,-561.1420613684832,492.3267747208283,-1526.0848084460713,403.8006857091051,0.2543797878103763
-1,0.0,0.0,0.0,0.0,
0,-243.3067443319478,520.534978301438,-1263.5365544961046,776.9230658322091,0.6402017732823417
1,-67.71105692847686,498.909077063334,-1045.55487953273,910.1327656757761,0.8920440355193645
2,299.0633103853852,673.5630265715712,-1021.0959630126897,1619.22258378346,0.657041159977227
3,293.42874801906305,453.3370183024484,-595.0954807125112,1181.9529767506374,0.517461073445024
4,-250.71360580691544,976.15831674541,-2163.948749837162,1662.5215382233307,0.7973045805566786
5,-735.277229579277,802.5598964643469,-2308.2657220855917,837.7112629270378,0.3595803976441476
