event_time,coef,std_err,ci_low,ci_high,p_value
-12,-2.8281269691015947,0.4474331113467652,-3.7050797528319546,-1.951174185371235,2.6024364862163875e-10
-11,-3.554287400135225,0.4595878373745379,-4.455063009121971,-2.653511791148479,1.045133912041685e-14
-10,-3.2258799796329996,0.5551128695681228,-4.313881211341201,-2.1378787479247983,6.20212186732968e-09
-9,-3.925228967819937,0.4030456969789301,-4.715184018022484,-3.13527391761739,2.0573329910673101e-22
-8,-4.067532581915771,0.5681009938160639,-5.1809900693766675,-2.9540750944548733,8.075016163808836e-13
-7,-5.0683843997746285,0.406390287421671,-5.864894726787985,-4.271874072761272,1.0650695005454261e-35
-6,1.8560395203851814,0.6025953040427735,0.6749744272083817,3.037104613561981,0.0020694756469361608
-5,-2.9310952769628007,0.40033151297269876,-3.7157306242657198,-2.1464599296598816,2.449035907681634e-13
-4,-2.0338493213297015,0.40076297070147177,-2.819330310241867,-1.2483683324175359,3.876117269297191e-07
-3,-0.5336178368472448,0.2540647521616917,-1.0315756008252555,-0.03566007286923423,0.035700508498440496
-2,-0.8350235374190328,0.2053522216440051,-1.2375064959865694,-0.4325405788514962,4.776564134093516e-05
-1,0.0,0.0,0.0,0.0,
0,1.8369161623423216,0.2961741944306988,1.2564254081079884,2.4174069165766547,5.569769062997855e-10
1,1.9376165485939376,0.3265127583410723,1.2976633017526058,2.577569795435269,2.9514650235483646e-09
2,2.754848124855488,0.20893311792176392,2.3453467385511706,3.1643495111598057,1.0661351196728398e-39
3,2.932267250740328,0.28116824878608576,2.381187609523402,3.483346891957254,1.8305127462302658e-25
4,6.712249918741648,0.4891619917056617,5.75351003239267,7.670989805090626,7.503393461467306e-43
5,4.62335515366369,0.5482782142754382,3.5487496001758965,5.697960707151483,3.3836248025540617e-17
