event_time,coef,std_err,ci_low,ci_high,p_value
-6,1.6984267165440514,0.5674930938701235,0.5861606910834012,2.8106927420047016,0.0027637755805950187
-5,1.918522357750296,0.5228353485837646,0.8937839046816727,2.943260810818919,0.00024306525711413163
-4,0.8522159541407338,0.707394467878689,-0.5342517257643727,2.2386836340458403,0.22830939761989555
-3,-0.9935391216182574,0.5572959850328625,-2.085819181011441,0.09874093777492599,0.07462125029613421
-2,-1.6765908290426421,0.45524657283367875,-2.568857715881943,-0.7843239422033412,0.00023066874304705884
-1,0.0,0.0,0.0,0.0,
0,0.379776331801194,0.4205183739103794,-0.4444245359004975,1.2039771995028856,0.36646501453341784
1,1.2228601362027443,0.4592634645844398,0.32272028620215565,2.122999986203333,0.0077526867087386415
2,1.3857024293477431,0.7406750086125052,-0.06599391178166147,2.8373987704771477,0.0613638927976058
3,-2.0727173991541434,0.9405695846293732,-3.9161999099815135,-0.2292348883267734,0.027546630933589583
4,-2.5344397678234953,0.7827314565266071,-4.068565232182224,-1.0003143034647664,0.0012039490030177457
5,-0.3179493293584561,0.670466604373932,-1.6320397267682278,0.9961410680513156,0.63534233484663
6,-0.010921650548716189,0.6743421400597106,-1.3326079583234138,1.3107646572259815,0.9870780203747356
