event_time,coef,std_err,ci_low,ci_high,p_value
-12,-0.19357086133804846,0.8510170590253254,-1.8615336472568838,1.4743919245807868,0.8200674206080878
-11,0.5512675963794424,0.7329195475178207,-0.8852283203208791,1.987763513079764,0.451959087183037
-10,1.187645928627676,0.6206411244797172,-0.02878832267701026,2.404080179932362,0.05567394853620513
-9,-0.5122227625408895,0.6790104764909898,-1.8430588415886104,0.8186133165068314,0.4506291761456873
-8,0.04276336025981995,0.784964540911397,-1.4957388690675362,1.581265589587176,0.9565542730852927
-7,1.6378616908718369,0.5945764856866738,0.47251319287156135,2.8032101888721126,0.005875145527845215
-6,1.3221013619249231,0.5656620589211301,0.21342409901873416,2.4307786248311123,0.019425479989677245
-5,0.7878486731596287,0.4360093840217629,-0.06671401644452035,1.6424113627637777,0.07076953309641404
-4,0.6430997238035451,0.2976886204887084,0.05964074903826411,1.2265586985688262,0.030748674133099143
-3,0.5304864471249845,0.25761065273010664,0.02557884574012048,1.0353940485098485,0.03946965985175653
-2,0.12876689369158859,0.12964062956904415,-0.12532407119683633,0.38285785858001353,0.3205831075833525
-1,0.0,0.0,0.0,0.0,
0,-0.06522551497136507,0.17111636188983118,-0.40060742144095646,0.2701563914982263,0.7030723762905751
1,0.21229272875466634,0.16402843329024716,-0.10919709293474891,0.5337825504440816,0.1955813357641798
2,-0.032060924760905204,0.17269181950226611,-0.37053067141003854,0.3064088218882281,0.8527161141839024
3,-0.01821164575856646,0.22641635610341684,-0.46197954923205914,0.42555625771492617,0.9358918314919095
4,-0.18114816854778812,0.26427688876850625,-0.6991213524803583,0.33682501538478204,0.4930610159518932
5,-0.38919689241581795,0.5345860574626127,-1.4369663116797986,0.6585725268481626,0.46659269723684904
