state,year,month,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
Alabama,2020,1,8680,96.69354838709677,8.623847926267281
Alabama,2020,2,4565,98.20372398685652,8.128696604600218
Alabama,2020,3,12614,99.7383859204059,7.333003012525765
Alabama,2020,4,346674,94.94222237606512,9.604445386732204
Alabama,2020,5,143323,81.96660689491569,12.265163302470643
Alabama,2020,6,61340,89.7114444082165,11.455714052820346
Alabama,2020,7,48038,93.7611890586619,9.83132103751197
Alabama,2020,8,21008,89.8038842345773,11.1178360624524
Alabama,2020,9,12563,89.5964339727772,11.60208548913476
Alabama,2020,10,12496,91.89340588988476,10.251680537772087
Alabama,2020,11,7344,88.24891067538127,11.088303376906318
Alabama,2020,12,8369,87.13107898195722,11.399689329669016
Alabama,2021,1,13933,89.69353333811813,10.70544749874399
Alabama,2021,2,12332,89.92053194939994,11.011393123580927
Alabama,2021,3,12577,90.62574540828496,11.163791047149559
Alabama,2021,4,21919,93.56266253022491,10.220493635658562
Alabama,2021,5,8918,85.17604844135457,12.465743440233236
Alabama,2021,6,7284,84.58264689730916,12.502471169686984
Alabama,2021,7,9839,86.41122065250534,11.802774672222787
Alabama,2021,8,5496,77.89301310043668,15.081968704512372
Alabama,2021,9,4898,84.29971416904858,11.955798285014291
Alabama,2021,10,5116,87.86161063330728,10.518275996872557
Alabama,2021,11,4942,89.15418858761635,9.822946175637394
Alabama,2021,12,4624,86.09429065743944,10.894679930795848
Alabama,2022,1,5324,87.13373403456049,10.893407212622089
Alabama,2022,2,3469,81.46439896223696,12.473191121360623
Alabama,2022,3,3644,85.45554335894622,10.998627881448957
Alabama,2022,4,3540,87.34463276836159,10.594491525423729
Alabama,2022,5,5380,89.23791821561339,9.266449814126394
Alabama,2022,6,4656,88.1872852233677,10.630154639175258
Alabama,2022,7,5889,87.02665987434199,10.832144676515538
Alabama,2022,8,3493,84.05382192957343,11.676782135699971
Alabama,2022,9,2837,84.27916813535424,12.344554106450476
Alabama,2022,10,2725,87.26605504587155,10.734862385321101
Alabama,2022,11,2923,88.1628463906945,10.508210742387957
Alabama,2022,12,4696,89.20357751277683,10.256920783645656
Alabama,2023,1,7182,89.2926761347814,9.97145641882484
Alabama,2023,2,5206,86.72685363042643,10.519880906646177
Alabama,2023,3,2667,85.86426696662917,11.44206974128234
Alabama,2023,4,2484,88.88888888888889,10.055958132045088
Alabama,2023,5,2875,89.28695652173914,10.348173913043478
Alabama,2023,6,3383,89.9497487437186,9.89225539462016
Alabama,2023,7,4354,88.2636655948553,10.27411575562701
Alabama,2023,8,3857,86.07726212081928,11.606040964480165
Alabama,2023,9,3844,87.92924037460979,10.38423517169615
Alabama,2023,10,4258,92.555190230155,8.340300610615312
Alabama,2023,11,3753,92.88569144684253,8.302957633892886
Alabama,2023,12,5392,92.45178041543026,8.101446587537092
Alabama,2024,1,7046,90.46267385750781,9.435992052228215
Alabama,2024,2,4216,88.61480075901328,9.876067362428843
Alabama,2024,3,3803,88.82461214830397,9.272022087825402
Alabama,2024,4,4195,89.55899880810489,9.483909415971395
Alabama,2024,5,5004,89.26858513189448,9.512390087929656
Alabama,2024,6,5285,88.83632923368022,9.820340586565752
Alabama,2024,7,7471,90.40289117922634,9.067260072279481
Alabama,2024,8,6009,84.70627392244965,11.503411549342653
Alabama,2024,9,5035,81.62859980139027,13.446077457795433
Alabama,2024,10,4467,78.26281620774569,15.109469442578913
Alabama,2024,11,4220,78.43601895734598,14.347748815165877
Alabama,2024,12,6794,83.72093023255815,12.138872534589343
Alabama,2025,1,7130,90.2805049088359,9.94859747545582
Alabama,2025,2,4896,86.31535947712419,10.999897875816993
Alabama,2025,3,5357,87.54900130670151,10.807354862796341
Alabama,2025,4,4469,91.89975385992392,9.711009174311927
Alabama,2025,5,4297,90.15592273679312,9.851175238538515
Alabama,2025,6,5731,87.17501308672134,10.625196300820102
Alabama,2025,7,6210,88.38969404186795,10.276650563607085
Alabama,2025,8,4831,85.38604843717657,11.359138894638791
Alabama,2025,9,4696,88.22402044293015,10.39853066439523
