geoName,Anthropic
Alabama,9
Alaska,0
Arizona,18
Arkansas,10
California,83
Colorado,29
Connecticut,26
Delaware,16
District of Columbia,100
Florida,17
Georgia,19
Hawaii,28
Idaho,19
Illinois,22
Indiana,14
Iowa,9
Kansas,12
Kentucky,9
Louisiana,10
Maine,21
Maryland,23
Massachusetts,51
Michigan,15
Minnesota,17
Mississippi,8
Missouri,15
Montana,21
Nebraska,11
Nevada,24
New Hampshire,21
New Jersey,31
New Mexico,14
New York,36
North Carolina,19
North Dakota,0
Ohio,13
Oklahoma,9
Oregon,29
Pennsylvania,20
Rhode Island,24
South Carolina,9
South Dakota,0
Tennessee,13
Texas,20
Utah,27
Vermont,19
Virginia,30
Washington,65
West Virginia,6
Wisconsin,13
Wyoming,22
