geoName,Perplexity AI
Alabama,27
Alaska,34
Arizona,48
Arkansas,38
California,66
Colorado,46
Connecticut,52
Delaware,29
District of Columbia,100
Florida,42
Georgia,45
Hawaii,59
Idaho,39
Illinois,44
Indiana,34
Iowa,28
Kansas,39
Kentucky,33
Louisiana,28
Maine,39
Maryland,53
Massachusetts,61
Michigan,33
Minnesota,33
Mississippi,20
Missouri,41
Montana,24
Nebraska,32
Nevada,43
New Hampshire,33
New Jersey,53
New Mexico,45
New York,52
North Carolina,46
North Dakota,41
Ohio,32
Oklahoma,31
Oregon,58
Pennsylvania,42
Rhode Island,52
South Carolina,29
South Dakota,29
Tennessee,28
Texas,46
Utah,50
Vermont,56
Virginia,58
Washington,59
West Virginia,38
Wisconsin,25
Wyoming,31
