geoName,Microsoft Copilot
Alabama,52
Alaska,53
Arizona,47
Arkansas,57
California,56
Colorado,68
Connecticut,61
Delaware,62
District of Columbia,100
Florida,57
Georgia,73
Hawaii,53
Idaho,34
Illinois,71
Indiana,50
Iowa,80
Kansas,62
Kentucky,50
Louisiana,41
Maine,43
Maryland,69
Massachusetts,73
Michigan,49
Minnesota,68
Mississippi,37
Missouri,58
Montana,47
Nebraska,58
Nevada,39
New Hampshire,57
New Jersey,65
New Mexico,25
New York,65
North Carolina,68
North Dakota,65
Ohio,57
Oklahoma,46
Oregon,52
Pennsylvania,63
Rhode Island,61
South Carolina,48
South Dakota,60
Tennessee,50
Texas,61
Utah,73
Vermont,0
Virginia,78
Washington,86
West Virginia,46
Wisconsin,66
Wyoming,0
