geoName,Meta AI
Alabama,64
Alaska,71
Arizona,51
Arkansas,63
California,82
Colorado,50
Connecticut,54
Delaware,58
District of Columbia,100
Florida,65
Georgia,60
Hawaii,72
Idaho,58
Illinois,53
Indiana,62
Iowa,58
Kansas,63
Kentucky,71
Louisiana,69
Maine,74
Maryland,59
Massachusetts,57
Michigan,52
Minnesota,54
Mississippi,74
Missouri,61
Montana,60
Nebraska,64
Nevada,51
New Hampshire,62
New Jersey,61
New Mexico,55
New York,75
North Carolina,60
North Dakota,55
Ohio,51
Oklahoma,65
Oregon,60
Pennsylvania,55
Rhode Island,60
South Carolina,57
South Dakota,62
Tennessee,62
Texas,62
Utah,63
Vermont,63
Virginia,65
Washington,75
West Virginia,80
Wisconsin,56
Wyoming,62
