geoName,Anthropic
Alabama,9
Alaska,15
Arizona,18
Arkansas,10
California,80
Colorado,29
Connecticut,24
Delaware,13
District of Columbia,100
Florida,15
Georgia,19
Hawaii,20
Idaho,17
Illinois,22
Indiana,12
Iowa,10
Kansas,14
Kentucky,9
Louisiana,8
Maine,17
Maryland,27
Massachusetts,39
Michigan,14
Minnesota,16
Mississippi,6
Missouri,12
Montana,13
Nebraska,12
Nevada,22
New Hampshire,25
New Jersey,31
New Mexico,12
New York,48
North Carolina,18
North Dakota,10
Ohio,12
Oklahoma,10
Oregon,27
Pennsylvania,18
Rhode Island,22
South Carolina,9
South Dakota,11
Tennessee,13
Texas,19
Utah,25
Vermont,17
Virginia,29
Washington,69
West Virginia,7
Wisconsin,12
Wyoming,8
