geoName,Anthropic
Alabama,19
Alaska,16
Arizona,30
Arkansas,16
California,74
Colorado,42
Connecticut,32
Delaware,19
District of Columbia,100
Florida,30
Georgia,33
Hawaii,35
Idaho,24
Illinois,36
Indiana,16
Iowa,21
Kansas,25
Kentucky,13
Louisiana,27
Maine,16
Maryland,41
Massachusetts,55
Michigan,24
Minnesota,26
Mississippi,11
Missouri,25
Montana,26
Nebraska,18
Nevada,38
New Hampshire,22
New Jersey,43
New Mexico,18
New York,67
North Carolina,23
North Dakota,17
Ohio,19
Oklahoma,19
Oregon,36
Pennsylvania,27
Rhode Island,27
South Carolina,17
South Dakota,10
Tennessee,25
Texas,30
Utah,51
Vermont,31
Virginia,39
Washington,73
West Virginia,11
Wisconsin,21
Wyoming,73
