geoName,Microsoft Copilot
Alabama,50
Alaska,73
Arizona,50
Arkansas,50
California,57
Colorado,69
Connecticut,61
Delaware,60
District of Columbia,100
Florida,64
Georgia,84
Hawaii,50
Idaho,47
Illinois,62
Indiana,50
Iowa,60
Kansas,45
Kentucky,45
Louisiana,64
Maine,39
Maryland,63
Massachusetts,71
Michigan,46
Minnesota,56
Mississippi,29
Missouri,52
Montana,37
Nebraska,46
Nevada,46
New Hampshire,47
New Jersey,54
New Mexico,30
New York,65
North Carolina,65
North Dakota,35
Ohio,46
Oklahoma,41
Oregon,54
Pennsylvania,56
Rhode Island,44
South Carolina,47
South Dakota,47
Tennessee,49
Texas,61
Utah,76
Vermont,31
Virginia,73
Washington,79
West Virginia,35
Wisconsin,50
Wyoming,84
