geoName,Meta AI
Alabama,27
Alaska,33
Arizona,32
Arkansas,27
California,56
Colorado,33
Connecticut,31
Delaware,28
District of Columbia,64
Florida,37
Georgia,39
Hawaii,38
Idaho,21
Illinois,36
Indiana,21
Iowa,31
Kansas,28
Kentucky,21
Louisiana,100
Maine,18
Maryland,38
Massachusetts,42
Michigan,27
Minnesota,25
Mississippi,21
Missouri,28
Montana,23
Nebraska,19
Nevada,39
New Hampshire,21
New Jersey,35
New Mexico,27
New York,83
North Carolina,29
North Dakota,30
Ohio,25
Oklahoma,29
Oregon,36
Pennsylvania,29
Rhode Island,19
South Carolina,24
South Dakota,0
Tennessee,33
Texas,33
Utah,37
Vermont,21
Virginia,40
Washington,48
West Virginia,19
Wisconsin,22
Wyoming,65
