violation_status,n,year,state,source_name
HEARING HELD-GUILTY,1145527,2021,New York,NYC Open Parking and Camera Violations
HEARING HELD-GUILTY REDUCTION,846631,2021,New York,NYC Open Parking and Camera Violations
HEARING HELD-NOT GUILTY,594591,2021,New York,NYC Open Parking and Camera Violations
APPEAL AFFIRMED,50485,2021,New York,NYC Open Parking and Camera Violations
HEARING ADJOURNMENT,34321,2021,New York,NYC Open Parking and Camera Violations
APPEAL REVERSED,6428,2021,New York,NYC Open Parking and Camera Violations
HEARING PENDING,1341,2021,New York,NYC Open Parking and Camera Violations
APPEAL ABANDONED,1025,2021,New York,NYC Open Parking and Camera Violations
HEARING HELD-REINSTATEMENT,981,2021,New York,NYC Open Parking and Camera Violations
APPEAL MODIFIED,31,2021,New York,NYC Open Parking and Camera Violations
APPEAL REMANDED,6,2021,New York,NYC Open Parking and Camera Violations
