violation_status,n,year,state,source_name
HEARING HELD-GUILTY,961851,2020,New York,NYC Open Parking and Camera Violations
HEARING HELD-GUILTY REDUCTION,875714,2020,New York,NYC Open Parking and Camera Violations
HEARING HELD-NOT GUILTY,611568,2020,New York,NYC Open Parking and Camera Violations
HEARING ADJOURNMENT,34695,2020,New York,NYC Open Parking and Camera Violations
APPEAL AFFIRMED,33274,2020,New York,NYC Open Parking and Camera Violations
APPEAL REVERSED,5471,2020,New York,NYC Open Parking and Camera Violations
HEARING PENDING,2841,2020,New York,NYC Open Parking and Camera Violations
APPEAL ABANDONED,884,2020,New York,NYC Open Parking and Camera Violations
HEARING HELD-REINSTATEMENT,550,2020,New York,NYC Open Parking and Camera Violations
APPEAL MODIFIED,49,2020,New York,NYC Open Parking and Camera Violations
