geoName,Anthropic
Alabama,12
Alaska,12
Arizona,19
Arkansas,10
California,41
Colorado,23
Connecticut,20
Delaware,15
District of Columbia,52
Florida,21
Georgia,19
Hawaii,16
Idaho,12
Illinois,21
Indiana,11
Iowa,12
Kansas,33
Kentucky,12
Louisiana,12
Maine,11
Maryland,24
Massachusetts,31
Michigan,14
Minnesota,15
Mississippi,9
Missouri,15
Montana,12
Nebraska,11
Nevada,21
New Hampshire,16
New Jersey,25
New Mexico,13
New York,31
North Carolina,17
North Dakota,9
Ohio,13
Oklahoma,13
Oregon,21
Pennsylvania,16
Rhode Island,14
South Carolina,12
South Dakota,9
Tennessee,15
Texas,20
Utah,26
Vermont,14
Virginia,26
Washington,40
West Virginia,9
Wisconsin,13
Wyoming,100
