geoName,Google DeepMind
Alabama,6
Alaska,5
Arizona,8
Arkansas,5
California,23
Colorado,11
Connecticut,10
Delaware,7
District of Columbia,17
Florida,9
Georgia,8
Hawaii,14
Idaho,3
Illinois,10
Indiana,6
Iowa,7
Kansas,22
Kentucky,5
Louisiana,6
Maine,6
Maryland,10
Massachusetts,13
Michigan,7
Minnesota,6
Mississippi,6
Missouri,7
Montana,6
Nebraska,6
Nevada,11
New Hampshire,10
New Jersey,11
New Mexico,7
New York,14
North Carolina,8
North Dakota,0
Ohio,6
Oklahoma,6
Oregon,9
Pennsylvania,8
Rhode Island,7
South Carolina,6
South Dakota,4
Tennessee,6
Texas,8
Utah,11
Vermont,8
Virginia,12
Washington,17
West Virginia,3
Wisconsin,5
Wyoming,100
