geoName,Meta AI
Alabama,43
Alaska,44
Arizona,44
Arkansas,47
California,78
Colorado,51
Connecticut,46
Delaware,42
District of Columbia,100
Florida,52
Georgia,51
Hawaii,59
Idaho,28
Illinois,53
Indiana,39
Iowa,25
Kansas,46
Kentucky,31
Louisiana,52
Maine,26
Maryland,53
Massachusetts,59
Michigan,39
Minnesota,35
Mississippi,38
Missouri,45
Montana,31
Nebraska,28
Nevada,55
New Hampshire,28
New Jersey,49
New Mexico,44
New York,95
North Carolina,41
North Dakota,31
Ohio,37
Oklahoma,47
Oregon,51
Pennsylvania,41
Rhode Island,37
South Carolina,38
South Dakota,22
Tennessee,42
Texas,48
Utah,56
Vermont,30
Virginia,69
Washington,66
West Virginia,34
Wisconsin,35
Wyoming,27
