geoName,Anthropic
Alabama,16
Alaska,17
Arizona,27
Arkansas,16
California,65
Colorado,34
Connecticut,30
Delaware,23
District of Columbia,100
Florida,29
Georgia,27
Hawaii,35
Idaho,25
Illinois,33
Indiana,18
Iowa,12
Kansas,17
Kentucky,10
Louisiana,19
Maine,14
Maryland,33
Massachusetts,48
Michigan,21
Minnesota,24
Mississippi,11
Missouri,22
Montana,10
Nebraska,16
Nevada,30
New Hampshire,25
New Jersey,38
New Mexico,22
New York,47
North Carolina,22
North Dakota,12
Ohio,17
Oklahoma,18
Oregon,32
Pennsylvania,23
Rhode Island,15
South Carolina,15
South Dakota,11
Tennessee,21
Texas,24
Utah,45
Vermont,31
Virginia,46
Washington,65
West Virginia,9
Wisconsin,19
Wyoming,25
