geoName,Perplexity AI
Alabama,26
Alaska,0
Arizona,48
Arkansas,21
California,55
Colorado,47
Connecticut,24
Delaware,24
District of Columbia,98
Florida,43
Georgia,60
Hawaii,43
Idaho,22
Illinois,47
Indiana,14
Iowa,21
Kansas,30
Kentucky,16
Louisiana,45
Maine,34
Maryland,86
Massachusetts,100
Michigan,38
Minnesota,44
Mississippi,17
Missouri,47
Montana,21
Nebraska,16
Nevada,44
New Hampshire,16
New Jersey,59
New Mexico,36
New York,51
North Carolina,23
North Dakota,0
Ohio,34
Oklahoma,51
Oregon,40
Pennsylvania,43
Rhode Island,20
South Carolina,16
South Dakota,24
Tennessee,38
Texas,44
Utah,61
Vermont,0
Virginia,41
Washington,84
West Virginia,0
Wisconsin,35
Wyoming,0
