geoName,Anthropic
Alabama,18
Alaska,21
Arizona,23
Arkansas,13
California,53
Colorado,34
Connecticut,27
Delaware,21
District of Columbia,100
Florida,25
Georgia,28
Hawaii,30
Idaho,19
Illinois,30
Indiana,14
Iowa,26
Kansas,17
Kentucky,13
Louisiana,15
Maine,13
Maryland,32
Massachusetts,44
Michigan,18
Minnesota,22
Mississippi,9
Missouri,19
Montana,17
Nebraska,22
Nevada,23
New Hampshire,18
New Jersey,34
New Mexico,23
New York,43
North Carolina,18
North Dakota,13
Ohio,17
Oklahoma,18
Oregon,28
Pennsylvania,20
Rhode Island,23
South Carolina,12
South Dakota,9
Tennessee,18
Texas,22
Utah,31
Vermont,16
Virginia,37
Washington,54
West Virginia,11
Wisconsin,20
Wyoming,69
