geoName,Meta AI
Alabama,40
Alaska,56
Arizona,51
Arkansas,40
California,81
Colorado,51
Connecticut,55
Delaware,48
District of Columbia,90
Florida,59
Georgia,55
Hawaii,68
Idaho,36
Illinois,59
Indiana,37
Iowa,41
Kansas,50
Kentucky,31
Louisiana,50
Maine,38
Maryland,65
Massachusetts,65
Michigan,40
Minnesota,42
Mississippi,32
Missouri,41
Montana,16
Nebraska,42
Nevada,54
New Hampshire,40
New Jersey,64
New Mexico,50
New York,73
North Carolina,45
North Dakota,33
Ohio,38
Oklahoma,51
Oregon,49
Pennsylvania,47
Rhode Island,33
South Carolina,28
South Dakota,23
Tennessee,44
Texas,49
Utah,58
Vermont,35
Virginia,65
Washington,80
West Virginia,30
Wisconsin,39
Wyoming,100
