violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY,98354,New York,NYC Open Parking and Camera Violations,2020,11
HEARING HELD-GUILTY REDUCTION,91288,New York,NYC Open Parking and Camera Violations,2020,11
HEARING HELD-NOT GUILTY,68995,New York,NYC Open Parking and Camera Violations,2020,11
APPEAL AFFIRMED,3698,New York,NYC Open Parking and Camera Violations,2020,11
HEARING ADJOURNMENT,3291,New York,NYC Open Parking and Camera Violations,2020,11
APPEAL REVERSED,568,New York,NYC Open Parking and Camera Violations,2020,11
HEARING PENDING,106,New York,NYC Open Parking and Camera Violations,2020,11
APPEAL ABANDONED,75,New York,NYC Open Parking and Camera Violations,2020,11
HEARING HELD-REINSTATEMENT,71,New York,NYC Open Parking and Camera Violations,2020,11
APPEAL MODIFIED,2,New York,NYC Open Parking and Camera Violations,2020,11
