violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY,77922,New York,NYC Open Parking and Camera Violations,2021,12
HEARING HELD-GUILTY REDUCTION,46557,New York,NYC Open Parking and Camera Violations,2021,12
HEARING HELD-NOT GUILTY,36824,New York,NYC Open Parking and Camera Violations,2021,12
APPEAL AFFIRMED,3930,New York,NYC Open Parking and Camera Violations,2021,12
HEARING ADJOURNMENT,2428,New York,NYC Open Parking and Camera Violations,2021,12
APPEAL REVERSED,519,New York,NYC Open Parking and Camera Violations,2021,12
HEARING PENDING,106,New York,NYC Open Parking and Camera Violations,2021,12
HEARING HELD-REINSTATEMENT,73,New York,NYC Open Parking and Camera Violations,2021,12
APPEAL ABANDONED,67,New York,NYC Open Parking and Camera Violations,2021,12
APPEAL MODIFIED,3,New York,NYC Open Parking and Camera Violations,2021,12
