violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY,61004,New York,NYC Open Parking and Camera Violations,2020,7
HEARING HELD-GUILTY REDUCTION,47337,New York,NYC Open Parking and Camera Violations,2020,7
HEARING HELD-NOT GUILTY,33669,New York,NYC Open Parking and Camera Violations,2020,7
HEARING ADJOURNMENT,3163,New York,NYC Open Parking and Camera Violations,2020,7
APPEAL AFFIRMED,1577,New York,NYC Open Parking and Camera Violations,2020,7
APPEAL REVERSED,428,New York,NYC Open Parking and Camera Violations,2020,7
HEARING PENDING,220,New York,NYC Open Parking and Camera Violations,2020,7
APPEAL ABANDONED,91,New York,NYC Open Parking and Camera Violations,2020,7
HEARING HELD-REINSTATEMENT,38,New York,NYC Open Parking and Camera Violations,2020,7
APPEAL MODIFIED,4,New York,NYC Open Parking and Camera Violations,2020,7
