violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY REDUCTION,113793,New York,NYC Open Parking and Camera Violations,2020,2
HEARING HELD-GUILTY,100442,New York,NYC Open Parking and Camera Violations,2020,2
HEARING HELD-NOT GUILTY,81113,New York,NYC Open Parking and Camera Violations,2020,2
APPEAL AFFIRMED,3756,New York,NYC Open Parking and Camera Violations,2020,2
HEARING ADJOURNMENT,2485,New York,NYC Open Parking and Camera Violations,2020,2
APPEAL REVERSED,548,New York,NYC Open Parking and Camera Violations,2020,2
HEARING PENDING,129,New York,NYC Open Parking and Camera Violations,2020,2
APPEAL ABANDONED,87,New York,NYC Open Parking and Camera Violations,2020,2
HEARING HELD-REINSTATEMENT,61,New York,NYC Open Parking and Camera Violations,2020,2
APPEAL MODIFIED,1,New York,NYC Open Parking and Camera Violations,2020,2
