violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY,108693,New York,NYC Open Parking and Camera Violations,2020,9
HEARING HELD-GUILTY REDUCTION,104671,New York,NYC Open Parking and Camera Violations,2020,9
HEARING HELD-NOT GUILTY,73202,New York,NYC Open Parking and Camera Violations,2020,9
APPEAL AFFIRMED,4340,New York,NYC Open Parking and Camera Violations,2020,9
HEARING ADJOURNMENT,4174,New York,NYC Open Parking and Camera Violations,2020,9
APPEAL REVERSED,673,New York,NYC Open Parking and Camera Violations,2020,9
APPEAL ABANDONED,117,New York,NYC Open Parking and Camera Violations,2020,9
HEARING PENDING,103,New York,NYC Open Parking and Camera Violations,2020,9
HEARING HELD-REINSTATEMENT,59,New York,NYC Open Parking and Camera Violations,2020,9
APPEAL MODIFIED,1,New York,NYC Open Parking and Camera Violations,2020,9
