violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY,105694,New York,NYC Open Parking and Camera Violations,2021,1
HEARING HELD-GUILTY REDUCTION,83166,New York,NYC Open Parking and Camera Violations,2021,1
HEARING HELD-NOT GUILTY,57523,New York,NYC Open Parking and Camera Violations,2021,1
HEARING ADJOURNMENT,3194,New York,NYC Open Parking and Camera Violations,2021,1
APPEAL AFFIRMED,3055,New York,NYC Open Parking and Camera Violations,2021,1
APPEAL REVERSED,532,New York,NYC Open Parking and Camera Violations,2021,1
APPEAL ABANDONED,102,New York,NYC Open Parking and Camera Violations,2021,1
HEARING PENDING,92,New York,NYC Open Parking and Camera Violations,2021,1
HEARING HELD-REINSTATEMENT,71,New York,NYC Open Parking and Camera Violations,2021,1
APPEAL MODIFIED,2,New York,NYC Open Parking and Camera Violations,2021,1
