violation_status,n,state,source_name,year,month
HEARING HELD-GUILTY,108665,New York,NYC Open Parking and Camera Violations,2020,10
HEARING HELD-GUILTY REDUCTION,105390,New York,NYC Open Parking and Camera Violations,2020,10
HEARING HELD-NOT GUILTY,76236,New York,NYC Open Parking and Camera Violations,2020,10
APPEAL AFFIRMED,4814,New York,NYC Open Parking and Camera Violations,2020,10
HEARING ADJOURNMENT,3523,New York,NYC Open Parking and Camera Violations,2020,10
APPEAL REVERSED,630,New York,NYC Open Parking and Camera Violations,2020,10
HEARING PENDING,129,New York,NYC Open Parking and Camera Violations,2020,10
APPEAL ABANDONED,93,New York,NYC Open Parking and Camera Violations,2020,10
HEARING HELD-REINSTATEMENT,67,New York,NYC Open Parking and Camera Violations,2020,10
APPEAL MODIFIED,1,New York,NYC Open Parking and Camera Violations,2020,10
