geoName,Anthropic
Alabama,13
Alaska,0
Arizona,20
Arkansas,14
California,74
Colorado,30
Connecticut,27
Delaware,12
District of Columbia,100
Florida,19
Georgia,22
Hawaii,66
Idaho,20
Illinois,26
Indiana,13
Iowa,11
Kansas,12
Kentucky,12
Louisiana,12
Maine,21
Maryland,36
Massachusetts,54
Michigan,16
Minnesota,15
Mississippi,7
Missouri,13
Montana,0
Nebraska,10
Nevada,25
New Hampshire,18
New Jersey,34
New Mexico,9
New York,44
North Carolina,20
North Dakota,17
Ohio,16
Oklahoma,12
Oregon,31
Pennsylvania,20
Rhode Island,20
South Carolina,13
South Dakota,0
Tennessee,16
Texas,21
Utah,29
Vermont,23
Virginia,30
Washington,68
West Virginia,9
Wisconsin,12
Wyoming,0
