geoName,Meta AI
Alabama,70
Alaska,73
Arizona,40
Arkansas,68
California,44
Colorado,45
Connecticut,46
Delaware,41
District of Columbia,63
Florida,44
Georgia,52
Hawaii,49
Idaho,45
Illinois,46
Indiana,58
Iowa,56
Kansas,63
Kentucky,80
Louisiana,69
Maine,75
Maryland,50
Massachusetts,48
Michigan,52
Minnesota,46
Mississippi,100
Missouri,54
Montana,59
Nebraska,46
Nevada,40
New Hampshire,49
New Jersey,43
New Mexico,42
New York,50
North Carolina,51
North Dakota,64
Ohio,52
Oklahoma,68
Oregon,45
Pennsylvania,55
Rhode Island,34
South Carolina,51
South Dakota,72
Tennessee,66
Texas,44
Utah,38
Vermont,54
Virginia,55
Washington,58
West Virginia,96
Wisconsin,61
Wyoming,39
