geoName,Microsoft Copilot
Alabama,36
Alaska,0
Arizona,47
Arkansas,47
California,48
Colorado,57
Connecticut,42
Delaware,53
District of Columbia,100
Florida,54
Georgia,57
Hawaii,60
Idaho,53
Illinois,56
Indiana,39
Iowa,46
Kansas,49
Kentucky,38
Louisiana,25
Maine,44
Maryland,59
Massachusetts,64
Michigan,45
Minnesota,48
Mississippi,30
Missouri,49
Montana,0
Nebraska,26
Nevada,36
New Hampshire,61
New Jersey,53
New Mexico,45
New York,47
North Carolina,48
North Dakota,0
Ohio,47
Oklahoma,36
Oregon,53
Pennsylvania,50
Rhode Island,51
South Carolina,30
South Dakota,0
Tennessee,39
Texas,53
Utah,60
Vermont,0
Virginia,68
Washington,80
West Virginia,53
Wisconsin,54
Wyoming,0
