geoName,Meta AI
Alabama,70
Alaska,69
Arizona,48
Arkansas,67
California,47
Colorado,44
Connecticut,36
Delaware,58
District of Columbia,49
Florida,45
Georgia,52
Hawaii,49
Idaho,53
Illinois,53
Indiana,63
Iowa,57
Kansas,63
Kentucky,70
Louisiana,68
Maine,70
Maryland,59
Massachusetts,47
Michigan,54
Minnesota,52
Mississippi,83
Missouri,61
Montana,62
Nebraska,73
Nevada,35
New Hampshire,48
New Jersey,49
New Mexico,55
New York,47
North Carolina,55
North Dakota,49
Ohio,57
Oklahoma,73
Oregon,46
Pennsylvania,50
Rhode Island,48
South Carolina,56
South Dakota,67
Tennessee,78
Texas,49
Utah,52
Vermont,59
Virginia,53
Washington,58
West Virginia,100
Wisconsin,62
Wyoming,64
