geoName,Anthropic
Alabama,21
Alaska,24
Arizona,30
Arkansas,18
California,68
Colorado,40
Connecticut,37
Delaware,32
District of Columbia,100
Florida,33
Georgia,35
Hawaii,32
Idaho,24
Illinois,38
Indiana,20
Iowa,23
Kansas,62
Kentucky,19
Louisiana,20
Maine,21
Maryland,43
Massachusetts,57
Michigan,25
Minnesota,30
Mississippi,17
Missouri,27
Montana,23
Nebraska,22
Nevada,31
New Hampshire,46
New Jersey,56
New Mexico,29
New York,60
North Carolina,26
North Dakota,25
Ohio,22
Oklahoma,25
Oregon,36
Pennsylvania,29
Rhode Island,25
South Carolina,20
South Dakota,18
Tennessee,27
Texas,34
Utah,42
Vermont,29
Virginia,46
Washington,72
West Virginia,19
Wisconsin,25
Wyoming,54
