geoName,Perplexity AI
Alabama,23
Alaska,23
Arizona,32
Arkansas,12
California,54
Colorado,38
Connecticut,25
Delaware,12
District of Columbia,100
Florida,35
Georgia,46
Hawaii,27
Idaho,13
Illinois,42
Indiana,15
Iowa,13
Kansas,74
Kentucky,15
Louisiana,30
Maine,0
Maryland,71
Massachusetts,84
Michigan,30
Minnesota,31
Mississippi,23
Missouri,35
Montana,27
Nebraska,21
Nevada,40
New Hampshire,39
New Jersey,52
New Mexico,29
New York,43
North Carolina,18
North Dakota,0
Ohio,23
Oklahoma,40
Oregon,39
Pennsylvania,36
Rhode Island,22
South Carolina,12
South Dakota,14
Tennessee,29
Texas,35
Utah,51
Vermont,0
Virginia,35
Washington,61
West Virginia,10
Wisconsin,27
Wyoming,23
