geoName,Meta AI
Alabama,35
Alaska,20
Arizona,40
Arkansas,28
California,72
Colorado,46
Connecticut,47
Delaware,37
District of Columbia,75
Florida,46
Georgia,52
Hawaii,55
Idaho,31
Illinois,44
Indiana,27
Iowa,32
Kansas,96
Kentucky,31
Louisiana,46
Maine,22
Maryland,50
Massachusetts,60
Michigan,33
Minnesota,33
Mississippi,29
Missouri,34
Montana,15
Nebraska,25
Nevada,48
New Hampshire,34
New Jersey,52
New Mexico,41
New York,54
North Carolina,34
North Dakota,19
Ohio,32
Oklahoma,44
Oregon,40
Pennsylvania,42
Rhode Island,34
South Carolina,32
South Dakota,17
Tennessee,42
Texas,41
Utah,49
Vermont,17
Virginia,49
Washington,62
West Virginia,28
Wisconsin,31
Wyoming,100
