geoName,Meta AI
Alabama,77
Alaska,97
Arizona,47
Arkansas,77
California,71
Colorado,56
Connecticut,58
Delaware,0
District of Columbia,100
Florida,61
Georgia,67
Hawaii,68
Idaho,43
Illinois,63
Indiana,68
Iowa,55
Kansas,77
Kentucky,72
Louisiana,58
Maine,97
Maryland,56
Massachusetts,64
Michigan,73
Minnesota,62
Mississippi,74
Missouri,77
Montana,0
Nebraska,61
Nevada,53
New Hampshire,99
New Jersey,64
New Mexico,63
New York,71
North Carolina,61
North Dakota,82
Ohio,65
Oklahoma,64
Oregon,75
Pennsylvania,60
Rhode Island,52
South Carolina,67
South Dakota,57
Tennessee,61
Texas,58
Utah,63
Vermont,72
Virginia,71
Washington,89
West Virginia,93
Wisconsin,58
Wyoming,0
